Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-02-17 00:00:00-05:00,74.77765476749144,76.376486971171,74.55917967235953,75.07556915283203,25254400,0.0,0.0
2015-02-18 00:00:00-05:00,75.41321642854213,76.3665561230516,74.92661004035207,76.17787170410156,22426400,0.0,0.0
2015-02-19 00:00:00-05:00,76.4559282516678,79.28615665666565,76.41620481729427,78.86907196044922,45851200,0.0,0.0
2015-02-20 00:00:00-05:00,78.99817830670982,79.7826915447347,78.65060013558173,79.34574890136719,36931700,0.0,0.0
2015-02-23 00:00:00-05:00,79.40531647713465,79.6337243005117,77.83627512063327,78.29308319091797,24139100,0.0,0.0
2015-02-24 00:00:00-05:00,77.95546368728992,78.92866898798876,77.5582368793216,77.90580749511719,18897100,0.0,0.0
2015-02-25 00:00:00-05:00,77.95545789410292,79.643662231922,77.95545789410292,79.00810241699219,25593800,0.0,0.0
2015-02-26 00:00:00-05:00,79.32588874739801,80.80555842751542,79.16700256903601,79.85221862792969,31111900,0.0,0.0
2015-02-27 00:00:00-05:00,80.12034024731025,80.66652804449929,78.07463245505865,78.42220306396484,30739200,0.0,0.0
2015-03-02 00:00:00-05:00,78.45198006465517,79.30601488413481,77.9753064723878,79.19677734375,21662500,0.0,0.0
2015-03-03 00:00:00-05:00,79.05775379730842,79.14712583937686,77.97531108127968,79.04782104492188,18635000,0.0,0.0
2015-03-04 00:00:00-05:00,78.74990671066276,80.58707192687109,78.30302377063143,80.33880615234375,28126700,0.0,0.0
2015-03-05 00:00:00-05:00,80.66651772620244,81.42124021572533,80.48776606784806,80.64665222167969,27825700,0.0,0.0
2015-03-06 00:00:00-05:00,80.33881218988574,80.76582965722238,79.27623489811376,79.45498657226562,24488600,0.0,0.0
2015-03-09 00:00:00-04:00,79.12726428547968,79.35567212108369,78.08454505030413,78.88893127441406,18925100,0.0,0.0
2015-03-10 00:00:00-04:00,77.95545373301194,78.71018381413174,77.01204681396484,77.01204681396484,23067100,0.0,0.0
2015-03-11 00:00:00-04:00,77.26031397980698,77.88594101960423,76.72405898435062,77.03190612792969,20215700,0.0,0.0
2015-03-12 00:00:00-04:00,77.558225002811,78.50163947432937,77.36954816968334,78.3824691772461,16093300,0.0,0.0
2015-03-13 00:00:00-04:00,78.05476326378579,78.8293513203505,77.14114697022076,77.50858306884766,18557300,0.0,0.0
2015-03-16 00:00:00-04:00,77.41918958929082,77.57808330398166,76.8233533121388,77.52842712402344,19305400,0.0,0.0
2015-03-17 00:00:00-04:00,77.8164233122569,79.22657106310672,77.79655780789562,78.80948638916016,22170000,0.0,0.0
2015-03-18 00:00:00-04:00,78.70025870256357,80.67645235172712,78.62081182810701,80.34874725341797,36912400,0.0,0.0
2015-03-19 00:00:00-04:00,80.55728185033423,82.4242377612526,80.43811155013807,82.17597198486328,42099500,0.0,0.0
2015-03-20 00:00:00-04:00,82.81154465030187,84.01315028579813,82.49376471014146,83.21870422363281,44466300,0.0,0.0
2015-03-23 00:00:00-04:00,83.33785029248101,84.37063678549042,82.72215604336745,83.84431457519531,27357300,0.0,0.0
2015-03-24 00:00:00-04:00,84.12237198462415,85.47293836970017,83.93368757632868,84.71820831298828,32576500,0.0,0.0
2015-03-25 00:00:00-04:00,84.90689212576909,84.92675005343828,82.34478759765625,82.34478759765625,37436100,0.0,0.0
2015-03-26 00:00:00-04:00,82.14617676072943,83.18888841801389,81.57019837300861,82.43416595458984,32794800,0.0,0.0
2015-03-27 00:00:00-04:00,82.80160726699523,83.36765299052405,82.30507566472535,82.72216796875,18372600,0.0,0.0
2015-03-30 00:00:00-04:00,83.22861761974697,83.75493986083991,81.83833531364124,82.62284851074219,24527700,0.0,0.0
2015-03-31 00:00:00-04:00,82.32494918035817,82.92078564575188,81.63973307809599,81.64966583251953,19734300,0.0,0.0
2015-04-01 00:00:00-04:00,81.92771412423573,82.14618924080239,80.30902383331068,81.10346984863281,22058200,0.0,0.0
2015-04-02 00:00:00-04:00,81.67944051635175,81.98728765492163,80.87506182449098,80.99422454833984,19664100,0.0,0.0
2015-04-06 00:00:00-04:00,80.23949552964575,82.23554675680428,80.23949552964575,81.86811828613281,19062900,0.0,0.0
2015-04-07 00:00:00-04:00,82.07666741704409,82.84132267679522,81.64964997741235,81.74895477294922,17467000,0.0,0.0
2015-04-08 00:00:00-04:00,82.05679907622735,82.52353993323763,81.27227833859921,81.709228515625,18966700,0.0,0.0
2015-04-09 00:00:00-04:00,81.92771113702214,82.22563311719959,81.14319032726085,81.5999984741211,15927300,0.0,0.0
2015-04-10 00:00:00-04:00,81.63972805109898,82.03695486239263,81.3418136249822,81.47090911865234,12529700,0.0,0.0
2015-04-13 00:00:00-04:00,81.36165604155173,83.35771489473882,81.35172328963384,82.43416595458984,26883100,0.0,0.0
2015-04-14 00:00:00-04:00,82.59306507413835,83.10946218439142,81.8681331761479,82.94063568115234,19634200,0.0,0.0
2015-04-15 00:00:00-04:00,82.9704380610494,83.07967562531613,81.6993107292612,82.13626098632812,22390900,0.0,0.0
2015-04-16 00:00:00-04:00,81.8979226781321,82.4937590781955,81.58014275966691,81.73902893066406,13769700,0.0,0.0
2015-04-17 00:00:00-04:00,80.91478371701683,81.54041073471984,79.81248308358528,80.21963500976562,24215000,0.0,0.0
2015-04-20 00:00:00-04:00,80.97436006571732,82.5731921440207,80.67643812726877,82.51360321044922,28796800,0.0,0.0
2015-04-21 00:00:00-04:00,83.41731646229312,83.90391535357777,82.96050825750955,83.03995513916016,27171900,0.0,0.0
2015-04-22 00:00:00-04:00,83.73509105630674,84.15217579358618,83.0697405121032,84.04293823242188,45548000,0.0,0.0
2015-04-23 00:00:00-04:00,83.5166123908853,84.9962744159682,81.83834075927734,81.83834075927734,73728100,0.0,0.0
2015-04-24 00:00:00-04:00,82.19582786143474,82.36465434328234,80.91478315453898,80.96443176269531,29660400,0.0,0.0
2015-04-27 00:00:00-04:00,81.30208869574079,82.35473328637086,81.06374806745123,81.34181213378906,25446000,0.0,0.0
2015-04-28 00:00:00-04:00,81.2623471469892,81.33186125396348,79.67344786152763,80.12032318115234,23775300,0.0,0.0
2015-04-29 00:00:00-04:00,79.45498840898095,80.82541289151074,78.96838198803128,79.91179656982422,26430300,0.0,0.0
2015-04-30 00:00:00-04:00,79.45498314284404,80.39839008563872,77.77670402888194,78.22357940673828,28999000,0.0,0.0
2015-05-01 00:00:00-04:00,78.6903128782258,79.20670989994599,77.5681543746899,78.44204711914062,24136400,0.0,0.0
2015-05-04 00:00:00-04:00,78.77970275304821,79.13720609881658,78.08455399117832,78.2633056640625,14692000,0.0,0.0
2015-05-05 00:00:00-04:00,78.0051028668647,78.25336862064025,76.68432723842609,77.02196502685547,22311300,0.0,0.0
2015-05-06 00:00:00-04:00,77.42913206201989,78.26330143947112,76.51551581724846,77.5582275390625,28663000,0.0,0.0
2015-05-07 00:00:00-04:00,77.45893069605117,78.39241254173074,77.02198045739758,77.88594818115234,19749400,0.0,0.0
2015-05-08 00:00:00-04:00,78.55129671103442,78.68039977450702,77.48871940218211,77.96539306640625,19943600,0.0,0.0
2015-05-11 00:00:00-04:00,77.9356053697303,78.48178559856532,77.38941756442414,77.46886444091797,18874100,0.0,0.0
2015-05-12 00:00:00-04:00,77.32983564319642,77.34969357394253,76.25732554760026,76.92267608642578,21285300,0.0,0.0
2015-05-13 00:00:00-04:00,77.1808673605233,77.98524606806659,77.1113532447661,77.8958740234375,21512300,0.0,0.0
2015-05-14 00:00:00-04:00,78.39241331399887,81.28222335559349,78.12428200073963,80.80555725097656,49438000,0.0,0.0
2015-05-15 00:00:00-04:00,80.8452825393712,80.9545125261395,79.62381141245177,79.86214447021484,27069900,0.0,0.0
2015-05-18 00:00:00-04:00,79.77276663820238,80.81547842570524,79.67346183603127,80.3189468383789,21613700,0.0,0.0
2015-05-19 00:00:00-04:00,80.68638058880609,81.12333079738835,79.99123941739843,80.0706787109375,17955400,0.0,0.0
2015-05-20 00:00:00-04:00,79.91180982667883,80.53743701622477,78.90881371122427,79.99125671386719,23056900,0.0,0.0
2015-05-21 00:00:00-04:00,79.63373320108461,80.3586650284312,79.52449565288659,79.92172241210938,13402700,0.0,0.0
2015-05-22 00:00:00-04:00,79.7926311695279,80.7459709868906,79.69332635914101,79.98131561279297,19567900,0.0,0.0
2015-05-26 00:00:00-04:00,79.87206917880366,80.04088809536154,78.5314354462766,78.77970123291016,16321300,0.0,0.0
2015-05-27 00:00:00-04:00,79.04784197556782,80.10049428963313,78.87902302264668,79.99125671386719,14160900,0.0,0.0
2015-05-28 00:00:00-04:00,79.69331419464294,80.50762563787207,79.44504841833565,79.59400939941406,11982000,0.0,0.0
2015-05-29 00:00:00-04:00,79.39538558873362,79.5145558789183,78.33280845811292,78.64066314697266,16134600,0.0,0.0
2015-06-01 00:00:00-04:00,78.74991701104281,79.82241953916547,78.11435715124007,79.73304748535156,18119000,0.0,0.0
2015-06-02 00:00:00-04:00,79.2067205258175,80.78568732871794,79.00810334602231,79.88200378417969,18923300,0.0,0.0
2015-06-03 00:00:00-04:00,80.78567564805212,81.95749032176546,80.6863708607482,81.86811828613281,31775000,0.0,0.0
2015-06-04 00:00:00-04:00,81.57021464601308,82.37459345302784,80.94458752683175,81.48084259033203,20863900,0.0,0.0
2015-06-05 00:00:00-04:00,81.30208197440578,81.88798559012032,80.94457863799774,81.57020568847656,16143100,0.0,0.0
2015-06-08 00:00:00-04:00,81.2524291413544,81.43118081693822,79.57414994151026,80.11040496826172,16915500,0.0,0.0
2015-06-09 00:00:00-04:00,80.04089084867194,80.62680206504643,78.76977118961848,80.11040496826172,16497500,0.0,0.0
2015-06-10 00:00:00-04:00,80.26928930852353,82.02700759874911,80.24942380441368,81.5900650024414,21531200,0.0,0.0
2015-06-11 00:00:00-04:00,81.73902568970313,82.32493688967148,80.79561872504819,81.26235961914062,18656800,0.0,0.0
2015-06-12 00:00:00-04:00,80.80554560953702,81.5205446634544,80.6367191276894,80.96443176269531,11417900,0.0,0.0
2015-06-15 00:00:00-04:00,79.99123743657724,80.36859869507244,79.51456380479404,80.1501235961914,18805100,0.0,0.0
2015-06-16 00:00:00-04:00,80.25937049682098,80.94458655469832,79.89193437166753,80.4977035522461,13693700,0.0,0.0
2015-06-17 00:00:00-04:00,81.19285030709636,81.64965847528549,80.77575800007932,81.22264099121094,18350300,0.0,0.0
2015-06-18 00:00:00-04:00,81.07366742919608,82.61291819930798,81.00415331821185,82.3348617553711,26782600,0.0,0.0
2015-06-19 00:00:00-04:00,82.25542487247601,82.40438586450708,81.55035092509779,81.9376449584961,23353200,0.0,0.0
